timestamp,response_time,http_code,result,payload_type,is_allowed,blocking_findings,non_blocking_findings,user_id
1741554230014,1594.9561595916748,200,BLOCKED,real,False,1,1,66
1741554231499,149.89995956420898,200,ALLOWED,clean,True,0,0,50
1741554231487,164.09611701965332,200,ALLOWED,dummy,True,0,2,22
1741554231523,127.6998519897461,200,ALLOWED,dummy,True,0,2,82
1741554231502,152.2529125213623,200,ALLOWED,dummy,True,0,2,3
1741554231486,168.34616661071777,200,ALLOWED,clean,True,0,0,4
1741554226841,4821.902275085449,200,BLOCKED,real,False,1,1,91
1741554229125,2555.612087249756,200,BLOCKED,real,False,1,1,92
1741554231546,142.3511505126953,200,ALLOWED,dummy,True,0,2,62
1741554231626,100.77500343322754,200,ALLOWED,dummy,True,0,2,64
1741554231627,100.15368461608887,200,ALLOWED,clean,True,0,0,83
1741554231615,113.47317695617676,200,ALLOWED,dummy,True,0,2,25
1741554231585,162.25123405456543,200,ALLOWED,clean,True,0,0,41
1741554226605,5143.228769302368,200,BLOCKED,real,False,1,1,43
1741554231635,133.49294662475586,200,ALLOWED,dummy,True,0,2,89
1741554231659,123.57783317565918,200,ALLOWED,dummy,True,0,2,66
1741554231659,128.8440227508545,200,ALLOWED,dummy,True,0,2,85
1741554227888,3908.926010131836,200,BLOCKED,real,False,1,1,27
1741554231713,120.42093276977539,200,ALLOWED,dummy,True,0,2,91
1741554229269,2596.679925918579,200,BLOCKED,real,False,1,1,32
1741554231701,167.75774955749512,200,ALLOWED,clean,True,0,0,22
1741554231705,164.54720497131348,200,ALLOWED,clean,True,0,0,4
1741554231739,150.33411979675293,200,ALLOWED,dummy,True,0,2,62
1741554231833,94.37179565429688,200,ALLOWED,clean,True,0,0,66
1741554231777,157.92107582092285,200,ALLOWED,clean,True,0,0,83
1741554231838,98.8309383392334,200,ALLOWED,clean,True,0,0,85
1741554229704,2239.2468452453613,200,BLOCKED,real,False,1,1,60
1741554231798,153.66101264953613,200,ALLOWED,clean,True,0,0,41
1741554231819,145.93982696533203,200,ALLOWED,clean,True,0,0,89
1741554227836,4132.5249671936035,200,BLOCKED,real,False,1,1,94
1741554231798,175.62413215637207,200,ALLOWED,clean,True,0,0,43
1741554231884,98.09207916259766,200,ALLOWED,clean,True,0,0,91
1741554231916,85.39319038391113,200,ALLOWED,clean,True,0,0,32
1741554230012,2002.587080001831,200,BLOCKED,real,False,1,1,28
1741554231939,87.6011848449707,200,ALLOWED,clean,True,0,0,62
1741554231920,107.80906677246094,200,ALLOWED,clean,True,0,0,4
1741554227803,4242.719888687134,200,BLOCKED,real,False,1,1,29
1741554228603,3470.911979675293,200,BLOCKED,real,False,1,1,9
1741554230108,1981.2507629394531,200,BLOCKED,real,False,1,1,47
1741554231978,123.02589416503906,200,ALLOWED,clean,True,0,0,66
1741554231986,116.19019508361816,200,ALLOWED,clean,True,0,0,83
1741554231994,113.01088333129883,200,ALLOWED,clean,True,0,0,60
